id_vendedor,nome_vendedor,prefixo_cep,cidade,estado
0015a82c2db000af6aaaf3ae2ecb0532,Amanda Sá,9080,SANTO ANDRE,SP
001cca7ae9ae17fb1caed9dfb1094831,Vinicius Nogueira,29156,CARIACICA,ES
001e6ad469a905060d959994f1b41e4f,Ana Clara Moreira,24754,SAO GONCALO,RJ
002100f778ceb8431b7a1020ff7ab48f,Srta. Emanuella Rezende,14405,FRANCA,SP
003554e2dce176b5555353e4f3555ac8,Rebeca Costa,74565,GOIANIA,GO
004c9cd9d87a3c30c522c48c4fc07416,Aylla da Rocha,14940,IBITINGA,SP
00720abe85ba0859807595bbf045a33b,Bruna Barbosa,7070,GUARULHOS,SP
00ab3eff1b5192e5f1a63bcecfee11c8,Bella da Luz,4164,SAO PAULO,SP
00d8b143d12632bad99c0ad66ad52825,Luiz Miguel Moura,30170,BELO HORIZONTE,MG
00ee68308b45bc5e2660cd833c3f81cc,Thiago da Conceição,3333,SAO PAULO,SP
00fc707aaaad2d31347cf883cd2dfe10,Bruno Rezende,87025,MARINGA,PR
010543a62bd80aa422851e79a3bc7540,Marcelo Marques,1212,SAO PAULO,SP
010da0602d7774602cd1b3f5fb7b709e,Maysa Macedo,9710,SAO BERNARDO DO CAMPO,SP
011b0eaba87386a2ae96a7d32bb531d1,Kamilly Machado,17580,POMPEIA,SP
01266d4c46afa519678d16a8b683d325,Carolina Martins,80250,CURITIBA,PR
013900e863eace745d3ec7614cab5b1a,Yan Alves,80740,CURITIBA,PR
014c0679dd340a0e338872e7ec85666a,Sr. Rafael Novais,35180,TIMOTEO,MG
014d9a685fd57276679edd00e07089e5,Vitor Gabriel Dias,87015,MARINGA,PR
0176f73cc1195f367f7b32db1e5b3aa8,Manuela Porto,14940,IBITINGA,SP
01bcc9d254a0143f0ce9791b960b2a47,Sra. Sophie Cirino,76400,URUACU,GO
01c97ebb5cdac52891c0ed1c37ba0012,Ana Julia Ribeiro,15804,CATANDUVA,SP
01cf7e3d21494c41fb86034f2e714fa1,Dr. Pedro Lucas Sá,85603,FRANCISCO BELTRAO,PR
01ed254b9ff8407dfb9d99ba1e17d923,Stella Nogueira,8710,MOGI DAS CRUZES,SP
01fd077212124329bac32490e8ef80d9,Leandro Peixoto,14079,RIBEIRAO PRETO / SAO PAULO,SP
01fdefa7697d26ad920e9e0346d4bd1b,Marcos Vinicius Monteiro,86050,LONDRINA,PR
0241d4d5d36f10f80c644447315af0bd,Júlia Novaes,80330,CURITIBA,PR
0249d282d911d23cb8b869ab49c99f53,Alice Araújo,5676,SAO PAULO,SP
024b564ae893ce8e9bfa02c10a401ece,Ana Clara Costa,3280,SAO PAULO,SP
028872bfa080090a9d0abd4f1af168f8,Sr. Isaque Carvalho,33940,RIBEIRAO DAS NEVES,MG
02a2272692e13558373c66db98f05e2e,Antonella Machado,20040,RIO DE JANEIRO,RJ
02b72cdeb9cfcc429f1af6f4e3f3b737,Vitor Hugo Rodrigues,14940,IBITINGA,SP
02c988090b766852e088c69d7fb3b551,Enzo Sá,13473,AMERICANA,SP
02d35243ea2e497335cd0f076b45675d,Caio Oliveira,59077,NATAL,RN
02dcd3e8e25bee036e32512bcf175493,Benício Araújo,32310,CONTAGEM,MG
02ecc2a19303f05e59ce133fd923fff7,Samuel Fogaça,9121,SANTO ANDRE,SP
02f5837340d7eb4f653d676c7256523a,Enrico Lopes,80620,CURITIBA,PR
02f623a8eb246f3c5f7c2f96462654e6,Caio Cavalcante,18611,BOTUCATU,SP
0307f7565ff85b299b6e5ef162b1b1a9,Srta. Maria Isis Aparecida,15085,SAO JOSE DO RIO PRETO,SP
0336182e1b3e92f029d5354832045fdf,Vinicius Almeida,14940,IBITINGA,SP
034b9387752bfa309f350a70cd45ffa3,Sra. Antonella Rocha,89036,BLUMENAU,SC
038b75b729c8a9a04b0d07cba7eabe86,Sr. José Freitas,12231,SAO JOSE DOS CAMPOS,SP
039b29ff3b3473435d0cd59040575de9,Daniela Farias,9443,RIBEIRAO PIRES,SP
039e6ad9dae79614493083e241147386,Bárbara Camargo,3560,SAO PAULO,SP
03a2a6dcbe45d639c4dc2a0d24769c40,Sr. Luigi Nascimento,9340,MAUA,SP
03bd479e1d9484cdb14104d3023f7321,Nathan Carvalho,38401,UBERLANDIA,MG
0417b067eeab773d2f7061a726dc477f,João Ribeiro,89288,SAO BENTO DO SUL,SC
042573af89b6d931f672efaf789d8358,Antônio da Cunha,18015,SOROCABA,SP
